# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Seli\Documents\KTH\IL2229\IMPROVED\IMPROVED.csv
# Generated on: Wed Mar 17 10:48:51 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk_clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,,,,,
green_leds_external_connection_export[7],Output,PIN_G21,7,B7_N1,PIN_G21,,,,,
green_leds_external_connection_export[6],Output,PIN_G22,7,B7_N2,PIN_G22,,,,,
green_leds_external_connection_export[5],Output,PIN_G20,7,B7_N1,PIN_G20,,,,,
green_leds_external_connection_export[4],Output,PIN_H21,7,B7_N2,PIN_H21,,,,,
green_leds_external_connection_export[3],Output,PIN_E24,7,B7_N1,PIN_E24,,,,,
green_leds_external_connection_export[2],Output,PIN_E25,7,B7_N1,PIN_E25,,,,,
green_leds_external_connection_export[1],Output,PIN_E22,7,B7_N0,PIN_E22,,,,,
green_leds_external_connection_export[0],Output,PIN_E21,7,B7_N0,PIN_E21,,,,,
red_leds_external_connection_export[17],Output,PIN_H15,7,B7_N2,PIN_H15,,,,,
red_leds_external_connection_export[16],Output,PIN_G16,7,B7_N2,PIN_G16,,,,,
red_leds_external_connection_export[15],Output,PIN_G15,7,B7_N2,PIN_G15,,,,,
red_leds_external_connection_export[14],Output,PIN_F15,7,B7_N2,PIN_F15,,,,,
red_leds_external_connection_export[13],Output,PIN_H17,7,B7_N2,PIN_H17,,,,,
red_leds_external_connection_export[12],Output,PIN_J16,7,B7_N2,PIN_J16,,,,,
red_leds_external_connection_export[11],Output,PIN_H16,7,B7_N2,PIN_H16,,,,,
red_leds_external_connection_export[10],Output,PIN_J15,7,B7_N2,PIN_J15,,,,,
red_leds_external_connection_export[9],Output,PIN_G17,7,B7_N1,PIN_G17,,,,,
red_leds_external_connection_export[8],Output,PIN_J17,7,B7_N2,PIN_J17,,,,,
red_leds_external_connection_export[7],Output,PIN_H19,7,B7_N2,PIN_H19,,,,,
red_leds_external_connection_export[6],Output,PIN_J19,7,B7_N2,PIN_J19,,,,,
red_leds_external_connection_export[5],Output,PIN_E18,7,B7_N1,PIN_E18,,,,,
red_leds_external_connection_export[4],Output,PIN_F18,7,B7_N1,PIN_F18,,,,,
red_leds_external_connection_export[3],Output,PIN_F21,7,B7_N0,PIN_F21,,,,,
red_leds_external_connection_export[2],Output,PIN_E19,7,B7_N0,PIN_E19,,,,,
red_leds_external_connection_export[1],Output,PIN_F19,7,B7_N0,PIN_F19,,,,,
red_leds_external_connection_export[0],Output,PIN_G19,7,B7_N2,PIN_G19,,,,,
reset_reset_n,Input,PIN_M23,6,B6_N2,PIN_M23,,,,,
switches_external_connection_export[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,,,,,
switches_external_connection_export[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,,,,,
switches_external_connection_export[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,,,,,
switches_external_connection_export[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,,,,,
switches_external_connection_export[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,,,,,
switches_external_connection_export[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,,,,,
switches_external_connection_export[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,,,,,
switches_external_connection_export[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,,,,,
switches_external_connection_export[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,,,,,
switches_external_connection_export[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,,,,,
switches_external_connection_export[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,,,,,
switches_external_connection_export[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,,,,,
switches_external_connection_export[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,,,,,
switches_external_connection_export[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,,,,,
switches_external_connection_export[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,,,,,
switches_external_connection_export[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,,,,,
switches_external_connection_export[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,,,,,
switches_external_connection_export[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,,,,,
